# Exported mask 'geometry' on 23-Jun-2016 08:38:35.000038
# Product name: S2A_OPER_MTD_SAFL1C_PDMC_20160607T085006_R135_V20160606T081644_20160606T081644
# Product file location: /home/dgriffith/Downloads/S2Image/S2A_OPER_PRD_MSIL1C_PDMC_20160607T085006_R135_V20160606T081644_20160606T081644.SAFE/S2A_OPER_MTD_SAFL1C_PDMC_20160607T085006_R135_V20160606T081644_20160606T081644.xml

# Wavelength:				443.0	490.0	560.0	665.0	705.0	740.0	783.0	842.0	865.0	945.0	1375.0	1610.0	2190.0	0.0	0.0	0.0	0.0	0.0
# Solar flux:				0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Pixel-X	Pixel-Y	Longitude	Latitude	B1	B2	B3	B4	B5	B6	B7	B8	B8A	B9	B10	B11	B12	sun_zenith	sun_azimuth	view_zenith	view_azimuth	DarkInB8A
13762.5	13471.5	28.370561539227175	-25.62361956478335	1579	1238	948	656	644	637	624	539	547	194	11	173	93	54.941048	30.729406	5.90341	84.63336	1.0
13763.5	13471.5	28.37066111773337	-25.623618630673874	1579	1217	963	672	644	637	624	519	547	194	11	173	93	54.941	30.729311	5.9026866	84.62782	1.0
13764.5	13471.5	28.37076069623463	-25.623617696496584	1602	1230	961	673	644	631	616	533	549	192	14	174	97	54.940956	30.729216	5.9019628	84.622284	1.0
13765.5	13471.5	28.37086027473095	-25.62361676225147	1602	1245	944	690	644	631	616	546	549	192	14	174	97	54.940907	30.72912	5.901239	84.61675	1.0
13766.5	13471.5	28.37095985322234	-25.623615827938536	1602	1243	944	674	647	642	639	525	537	192	14	182	91	54.94086	30.729025	5.900515	84.61121	1.0
13767.5	13471.5	28.3710594317088	-25.62361489355778	1602	1231	966	685	647	642	639	540	537	192	14	182	91	54.940815	30.728928	5.8997912	84.605675	1.0
13768.5	13471.5	28.37115901019032	-25.623613959109203	1602	1233	965	683	662	683	654	553	559	192	14	180	93	54.94077	30.728832	5.8990674	84.600136	1.0
13769.5	13471.5	28.371258588666898	-25.623613024592803	1602	1240	969	685	662	683	654	563	559	192	14	180	93	54.940723	30.728737	5.898344	84.594604	1.0
13770.5	13471.5	28.371358167138546	-25.62361209000858	1590	1248	961	688	666	671	652	561	585	195	8	191	92	54.940678	30.728642	5.89762	84.589066	1.0
13771.5	13471.5	28.37145774560526	-25.623611155356546	1590	1233	977	704	666	671	652	554	585	195	8	191	92	54.94063	30.728544	5.8968964	84.58353	1.0
13772.5	13471.5	28.371557324067034	-25.62361022063668	1590	1244	979	691	671	636	635	555	572	195	8	188	94	54.940586	30.728449	5.8961725	84.57799	1.0
13773.5	13471.5	28.371656902523867	-25.623609285849	1590	1242	976	697	671	636	635	550	572	195	8	188	94	54.94054	30.728354	5.8954487	84.57246	1.0
13774.5	13471.5	28.37175648097577	-25.6236083509935	1590	1258	966	704	672	650	644	548	549	195	8	184	83	54.94049	30.728258	5.894725	84.56692	1.0
13775.5	13471.5	28.37185605942273	-25.623607416070172	1590	1239	962	690	672	650	644	546	549	195	8	184	83	54.940445	30.728163	5.894001	84.56138	1.0
13776.5	13471.5	28.371955637864755	-25.623606481079026	1584	1240	972	681	669	653	636	541	566	185	10	187	73	54.9404	30.728065	5.8932776	84.55584	1.0
13777.5	13471.5	28.37205521630184	-25.62360554602006	1584	1231	971	681	669	653	636	541	566	185	10	187	73	54.940353	30.72797	5.892554	84.55031	1.0
13778.5	13471.5	28.372154794733987	-25.623604610893274	1584	1232	964	673	669	662	630	542	554	185	10	175	89	54.940308	30.727875	5.89183	84.54477	1.0
13779.5	13471.5	28.372254373161194	-25.623603675698668	1584	1234	972	689	669	662	630	551	554	185	10	175	89	54.94026	30.72778	5.891106	84.53923	1.0
13780.5	13471.5	28.372353951583463	-25.623602740436237	1584	1225	980	701	671	652	643	550	558	185	10	165	94	54.940216	30.727682	5.8903823	84.53369	1.0
13781.5	13471.5	28.37245353000079	-25.623601805105988	1584	1245	967	670	671	652	643	553	558	185	10	165	94	54.94017	30.727587	5.8896585	84.52816	1.0
13782.5	13471.5	28.372553108413175	-25.623600869707918	1585	1232	972	674	669	650	637	553	560	182	12	172	100	54.940125	30.727491	5.888935	84.52262	1.0
13783.5	13471.5	28.372652686820626	-25.623599934242026	1585	1235	981	672	669	650	637	545	560	182	12	172	100	54.940075	30.727396	5.8882113	84.51708	1.0
13784.5	13471.5	28.37275226522313	-25.623598998708314	1585	1232	964	681	676	651	622	536	553	182	12	181	94	54.94003	30.7273	5.8874874	84.51154	1.0
13785.5	13471.5	28.372851843620694	-25.62359806310678	1585	1234	970	676	676	651	622	538	553	182	12	181	94	54.939983	30.727203	5.8867636	84.50601	1.0
13786.5	13471.5	28.372951422013315	-25.623597127437428	1585	1224	979	667	663	661	628	541	555	182	12	177	92	54.939938	30.727108	5.8860397	84.50047	1.0
13787.5	13471.5	28.373051000400995	-25.623596191700255	1585	1231	968	686	663	661	628	541	555	182	12	177	92	54.93989	30.727013	5.885316	84.494934	1.0
13788.5	13471.5	28.37315057878374	-25.623595255895257	1587	1242	976	662	658	654	632	542	546	191	9	180	94	54.939846	30.726917	5.8845925	84.489395	1.0
13789.5	13471.5	28.373250157161532	-25.62359432002244	1587	1228	955	663	658	654	632	540	546	191	9	180	94	54.9398	30.72682	5.8838687	84.483864	1.0
13790.5	13471.5	28.373349735534383	-25.623593384081804	1587	1222	941	669	664	637	613	536	532	191	9	186	92	54.939754	30.726725	5.883145	84.478325	1.0
13791.5	13471.5	28.373449313902295	-25.623592448073346	1587	1224	947	651	664	637	613	535	532	191	9	186	92	54.93971	30.72663	5.882421	84.472786	1.0
13792.5	13471.5	28.37354889226526	-25.623591511997066	1587	1221	950	663	650	627	611	534	536	191	9	183	80	54.93966	30.726534	5.881697	84.46725	1.0
13793.5	13471.5	28.373648470623284	-25.62359057585297	1587	1228	945	678	650	627	611	542	536	191	9	183	80	54.939613	30.726439	5.8809733	84.461716	1.0
13794.5	13471.5	28.373748048976356	-25.62358963964105	1572	1218	941	661	651	626	626	533	544	180	11	182	86	54.939568	30.726341	5.8802495	84.45618	1.0
13795.5	13471.5	28.373847627324487	-25.623588703361307	1572	1208	953	660	651	626	626	524	544	180	11	182	86	54.93952	30.726246	5.879526	84.45064	1.0
13796.5	13471.5	28.373947205667676	-25.62358776701375	1572	1234	958	665	652	639	628	531	555	180	11	180	94	54.939476	30.72615	5.8788023	84.4451	1.0
13797.5	13471.5	28.374046784005916	-25.623586830598367	1572	1236	962	646	652	639	628	541	555	180	11	180	94	54.93943	30.726055	5.8780785	84.43957	1.0
13798.5	13471.5	28.37414636233921	-25.623585894115163	1572	1235	955	642	651	646	644	537	550	180	11	178	87	54.939384	30.725958	5.8773546	84.43403	1.0
13799.5	13471.5	28.374245940667556	-25.623584957564145	1572	1219	935	682	651	646	644	523	550	180	11	178	87	54.93934	30.725863	5.876631	84.42849	1.0
13800.5	13471.5	28.374345518990957	-25.623584020945295	1580	1219	947	663	645	632	633	533	530	187	11	196	84	54.939293	30.725767	5.875907	84.42295	1.0
13801.5	13471.5	28.374445097309412	-25.62358308425863	1580	1218	956	654	645	632	633	531	530	187	11	196	84	54.939247	30.725672	5.8751836	84.41742	1.0
13802.5	13471.5	28.374544675622918	-25.62358214750415	1580	1236	956	669	643	635	643	542	540	187	11	176	94	54.939198	30.725576	5.8744597	84.41188	1.0
13803.5	13471.5	28.37464425393148	-25.623581210681845	1580	1221	955	673	643	635	643	523	540	187	11	176	94	54.93915	30.72548	5.873736	84.40634	1.0
13752.5	13472.5	28.369566783460776	-25.623719179519444	1589	1236	966	677	656	652	648	553	558	194	11	186	100	54.94158	30.730326	5.9106197	84.656105	1.0
13753.5	13472.5	28.369666362091085	-25.623718246084426	1589	1243	965	675	656	652	648	558	558	194	11	186	100	54.941536	30.73023	5.9098954	84.650696	1.0
13754.5	13472.5	28.36976594071647	-25.623717312581586	1589	1232	969	685	651	651	636	552	542	194	11	181	88	54.94149	30.730135	5.909171	84.64529	1.0
13755.5	13472.5	28.369865519336916	-25.623716379010926	1589	1231	949	678	651	651	636	551	542	194	11	181	88	54.941444	30.730038	5.908447	84.63988	1.0
13756.5	13472.5	28.369965097952438	-25.623715445372444	1589	1248	946	665	653	632	639	520	540	194	11	184	108	54.9414	30.729942	5.907722	84.63447	1.0
13757.5	13472.5	28.370064676563025	-25.623714511666144	1589	1222	968	675	653	632	639	541	540	194	11	184	108	54.941353	30.729847	5.9069977	84.62907	1.0
13758.5	13472.5	28.370164255168678	-25.62371357789202	1579	1229	948	670	636	643	622	542	547	194	11	179	97	54.941307	30.729752	5.9062734	84.62366	1.0
