# Exported mask 'geometry' on 23-Jun-2016 09:31:47.000031
# Product name: S2A_OPER_MTD_SAFL1C_PDMC_20160607T085006_R135_V20160606T081644_20160606T081644
# Product file location: /home/dgriffith/Downloads/S2Image/S2A_OPER_PRD_MSIL1C_PDMC_20160607T085006_R135_V20160606T081644_20160606T081644.SAFE/S2A_OPER_MTD_SAFL1C_PDMC_20160607T085006_R135_V20160606T081644_20160606T081644.xml

# Wavelength:				443.0	490.0	560.0	665.0	705.0	740.0	783.0	842.0	865.0	945.0	1375.0	1610.0	2190.0	0.0	0.0	0.0	0.0	0.0
# Solar flux:				0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Pixel-X	Pixel-Y	Longitude	Latitude	B1	B2	B3	B4	B5	B6	B7	B8	B8A	B9	B10	B11	B12	sun_zenith	sun_azimuth	view_zenith	view_azimuth	DarkInB8A
13783.5	13405.5	28.37258459329395	-25.617641632863265	1620	1260	1048	831	1030	1610	1869	1798	1943	602	17	1423	796	54.93518	30.72999	5.8913317	86.40784	0.0
13784.5	13405.5	28.372684166760425	-25.617640697578025	1620	1273	1030	817	983	1594	1815	1690	1917	602	17	1469	806	54.935135	30.729895	5.890649	86.39383	0.0
13785.5	13405.5	28.372783740221962	-25.617639762224982	1620	1263	1025	806	983	1594	1815	1702	1917	602	17	1469	806	54.935085	30.7298	5.889966	86.37982	0.0
13786.5	13405.5	28.372883313678557	-25.617638826804143	1620	1275	1031	820	1022	1602	1802	1768	1972	602	17	1547	923	54.93504	30.729704	5.889283	86.36582	0.0
13787.5	13405.5	28.372982887130213	-25.617637891315493	1620	1273	1041	841	1022	1602	1802	1717	1972	602	17	1547	923	54.934994	30.729607	5.8886003	86.351814	0.0
13788.5	13405.5	28.373082460576928	-25.617636955759046	1636	1295	1065	893	1069	1712	1883	1746	2055	653	14	1681	1000	54.934948	30.729511	5.8879175	86.33781	0.0
13750.5	13406.5	28.36929969522299	-25.61776273669386	1661	1311	1093	898	1137	1853	2081	2141	2289	732	14	1686	984	54.93678	30.73311	5.913838	86.83716	0.0
13751.5	13406.5	28.36939926892707	-25.617761803642367	1661	1317	1094	952	1137	1853	2081	2091	2289	732	14	1686	984	54.936733	30.733015	5.9131546	86.82328	0.0
13752.5	13406.5	28.369498842626225	-25.617760870523067	1638	1311	1097	988	1154	1858	2110	2052	2273	744	15	1749	988	54.936687	30.73292	5.9124713	86.8094	0.0
13753.5	13406.5	28.369598416320446	-25.61775993733597	1638	1311	1124	978	1154	1858	2110	2048	2273	744	15	1749	988	54.936638	30.732824	5.9117875	86.795525	0.0
